INFO 2016-03-20 17:11:50,939 signals: Group added: БЕ-22 None (ID: 1)
INFO 2016-03-20 17:12:14,569 signals: Student added: Nazariy Voloshyn (ID: 1)
INFO 2016-03-30 12:43:41,960 signals: Student added: Назарий Волошин (ID: 2)
INFO 2016-03-30 18:13:18,222 signals: Student added: Волошин Назарій (ID: 3)
INFO 2016-03-30 18:13:36,340 signals: Student added: Волошин Назарій (ID: 4)
INFO 2016-03-30 18:13:53,898 signals: Student added: Назарий Волошин (ID: 5)
INFO 2016-03-30 18:14:09,674 signals: Student added: Назарий Волошин (ID: 6)
INFO 2016-03-31 12:36:26,293 signals: Group added: Group1 None (ID: 1)
INFO 2016-03-31 13:30:38,124 signals: Group added: MtM-1 None (ID: 1)
INFO 2016-03-31 13:30:38,134 signals: Group added: MtM-2 None (ID: 2)
INFO 2016-03-31 13:30:38,150 signals: Student added: Vitaliy Podoba (ID: 1)
INFO 2016-03-31 13:30:38,171 signals: Student added: John Dobson (ID: 2)
INFO 2016-03-31 13:30:38,192 signals: Student added: Sam Stefenson (ID: 3)
INFO 2016-03-31 13:30:38,213 signals: Student added: Arnold Kidney (ID: 4)
INFO 2016-03-31 13:32:46,366 signals: Group added: MtM-1 None (ID: 1)
INFO 2016-03-31 13:32:46,374 signals: Group added: MtM-2 None (ID: 2)
INFO 2016-03-31 13:32:46,388 signals: Student added: Vitaliy Podoba (ID: 1)
INFO 2016-03-31 13:32:46,400 signals: Student added: John Dobson (ID: 2)
INFO 2016-03-31 13:32:46,412 signals: Student added: Sam Stefenson (ID: 3)
INFO 2016-03-31 13:32:46,424 signals: Student added: Arnold Kidney (ID: 4)
INFO 2016-03-31 13:34:16,041 signals: Group added: MtM-1 None (ID: 1)
INFO 2016-03-31 13:34:16,050 signals: Group added: MtM-2 None (ID: 2)
INFO 2016-03-31 13:34:16,064 signals: Student added: Vitaliy Podoba (ID: 1)
INFO 2016-03-31 13:34:16,077 signals: Student added: John Dobson (ID: 2)
INFO 2016-03-31 13:34:16,089 signals: Student added: Sam Stefenson (ID: 3)
INFO 2016-03-31 13:34:16,101 signals: Student added: Arnold Kidney (ID: 4)
INFO 2016-03-31 13:35:12,390 signals: Group added: MtM-1 None (ID: 1)
INFO 2016-03-31 13:35:12,399 signals: Group added: MtM-2 None (ID: 2)
INFO 2016-03-31 13:35:12,414 signals: Student added: Vitaliy Podoba (ID: 1)
INFO 2016-03-31 13:35:12,427 signals: Student added: John Dobson (ID: 2)
INFO 2016-03-31 13:35:12,441 signals: Student added: Sam Stefenson (ID: 3)
INFO 2016-03-31 13:35:12,455 signals: Student added: Arnold Kidney (ID: 4)
INFO 2016-03-31 14:05:56,053 signals: Group added: MtM-1 None (ID: 1)
INFO 2016-03-31 14:05:56,063 signals: Group added: MtM-2 None (ID: 2)
INFO 2016-03-31 14:05:56,080 signals: Student added: Vitaliy Podoba (ID: 1)
INFO 2016-03-31 14:05:56,099 signals: Student added: John Dobson (ID: 2)
INFO 2016-03-31 14:05:56,113 signals: Student added: Sam Stefenson (ID: 3)
INFO 2016-03-31 14:05:56,125 signals: Student added: Arnold Kidney (ID: 4)
INFO 2016-03-31 14:05:57,582 signals: Group added: MtM-1 None (ID: 3)
INFO 2016-03-31 14:05:57,590 signals: Group added: MtM-2 None (ID: 4)
INFO 2016-03-31 14:05:57,605 signals: Student added: Vitaliy Podoba (ID: 5)
INFO 2016-03-31 14:05:57,622 signals: Student added: John Dobson (ID: 6)
INFO 2016-03-31 14:05:57,636 signals: Student added: Sam Stefenson (ID: 7)
INFO 2016-03-31 14:05:57,648 signals: Student added: Arnold Kidney (ID: 8)
INFO 2016-03-31 14:07:12,374 signals: Group added: MtM-1 None (ID: 1)
INFO 2016-03-31 14:07:12,385 signals: Group added: MtM-2 None (ID: 2)
INFO 2016-03-31 14:07:12,412 signals: Student added: Vitaliy Podoba (ID: 1)
INFO 2016-03-31 14:07:12,425 signals: Student added: John Dobson (ID: 2)
INFO 2016-03-31 14:07:12,439 signals: Student added: Sam Stefenson (ID: 3)
INFO 2016-03-31 14:07:12,457 signals: Student added: Arnold Kidney (ID: 4)
INFO 2016-03-31 14:07:13,009 signals: Group added: MtM-1 None (ID: 3)
INFO 2016-03-31 14:07:13,025 signals: Group added: MtM-2 None (ID: 4)
INFO 2016-03-31 14:07:13,053 signals: Student added: Vitaliy Podoba (ID: 5)
INFO 2016-03-31 14:07:13,079 signals: Student added: John Dobson (ID: 6)
INFO 2016-03-31 14:07:13,104 signals: Student added: Sam Stefenson (ID: 7)
INFO 2016-03-31 14:07:13,126 signals: Student added: Arnold Kidney (ID: 8)
INFO 2016-03-31 14:08:02,823 signals: Group added: MtM-1 None (ID: 1)
INFO 2016-03-31 14:08:02,832 signals: Group added: MtM-2 None (ID: 2)
INFO 2016-03-31 14:08:02,850 signals: Student added: Vitaliy Podoba (ID: 1)
INFO 2016-03-31 14:08:02,866 signals: Student added: John Dobson (ID: 2)
INFO 2016-03-31 14:08:02,880 signals: Student added: Sam Stefenson (ID: 3)
INFO 2016-03-31 14:08:02,896 signals: Student added: Arnold Kidney (ID: 4)
INFO 2016-03-31 14:11:02,249 signals: Group added: MtM-1 None (ID: 1)
INFO 2016-03-31 14:11:02,259 signals: Group added: MtM-2 None (ID: 2)
INFO 2016-03-31 14:11:02,276 signals: Student added: Vitaliy Podoba (ID: 1)
INFO 2016-03-31 14:11:02,292 signals: Student added: John Dobson (ID: 2)
INFO 2016-03-31 14:11:02,305 signals: Student added: Sam Stefenson (ID: 3)
INFO 2016-03-31 14:11:02,319 signals: Student added: Arnold Kidney (ID: 4)
INFO 2016-03-31 14:15:52,110 signals: Group added: MtM-1 None (ID: 1)
INFO 2016-03-31 14:15:52,120 signals: Group added: MtM-2 None (ID: 2)
INFO 2016-03-31 14:15:52,137 signals: Student added: Vitaliy Podoba (ID: 1)
INFO 2016-03-31 14:15:52,158 signals: Student added: John Dobson (ID: 2)
INFO 2016-03-31 14:15:52,174 signals: Student added: Sam Stefenson (ID: 3)
INFO 2016-03-31 14:15:52,188 signals: Student added: Arnold Kidney (ID: 4)
INFO 2016-03-31 14:16:38,641 signals: Group added: MtM-1 None (ID: 1)
